dimension,mutation rate,cross over rate,pxa,pxb,pxc,pxp
13,0.6,0.7,0.24897,0.24938,0.25181,0.24984
,,,,,,
13,1,0.7,0.2498,0.24988,0.251,0.24932
,,,,,,
14,0.2,0.1,0.25107,0.24868,0.24983,0.25042
,,,,,,
14,0.6,0.1,0.25049,0.25068,0.24853,0.2503
,,,,,,
14,1,0.1,0.24914,0.24942,0.25062,0.25082
,,,,,,
14,0.2,0.4,0.25038,0.24709,0.25209,0.25044
,,,,,,
14,0.6,0.4,0.24978,0.25201,0.24748,0.25073
,,,,,,
14,1,0.4,0.24984,0.24986,0.2503,0.25
,,,,,,
14,0.2,0.7,0.24762,0.25008,0.25277,0.24953
,,,,,,
14,0.6,0.7,0.25155,0.24853,0.25063,0.24929
,,,,,,
14,1,0.7,0.25065,0.25017,0.25038,0.2488
,,,,,,
15,0.2,0.1,0.25193,0.25011,0.24884,0.24912
,,,,,,
15,0.6,0.1,0.2479,0.25036,0.25317,0.24857
,,,,,,
15,1,0.1,0.25054,0.24917,0.24938,0.25091
,,,,,,
15,0.2,0.4,0.24608,0.25175,0.24971,0.25246
,,,,,,
15,0.6,0.4,0.24848,0.25108,0.24994,0.2505
,,,,,,
15,1,0.4,0.24927,0.25068,0.25051,0.24954
,,,,,,
15,0.2,0.7,0.24905,0.25066,0.25015,0.25014
,,,,,,
15,0.6,0.7,0.24977,0.25019,0.25112,0.24892
,,,,,,
15,1,0.7,0.25109,0.24785,0.25071,0.25035
,,,,,,
16,0.2,0.1,0.24971,0.24982,0.25153,0.24894
,,,,,,
16,0.6,0.1,0.25053,0.25056,0.24841,0.2505
,,,,,,
16,1,0.1,0.25046,0.24844,0.24973,0.25137
,,,,,,
16,0.2,0.4,0.24885,0.25181,0.24943,0.24991
,,,,,,
16,0.6,0.4,0.25029,0.24918,0.2518,0.24873
,,,,,,
16,1,0.4,0.252,0.25132,0.24988,0.2468
,,,,,,
16,0.2,0.7,0.25008,0.24828,0.25101,0.25063
,,,,,,
16,0.6,0.7,0.24934,0.2503,0.24995,0.25041
,,,,,,
16,1,0.7,0.25253,0.24846,0.24832,0.25069
,,,,,,
17,0.2,0.1,0.2492,0.24973,0.25058,0.25049
,,,,,,
17,0.6,0.1,0.24965,0.24857,0.25142,0.25036
,,,,,,
17,1,0.1,0.25105,0.24797,0.25117,0.24981
,,,,,,
17,0.2,0.4,0.24819,0.25181,0.25036,0.24964
,,,,,,
17,0.6,0.4,0.251,0.25302,0.24863,0.24735
,,,,,,
17,1,0.4,0.24924,0.25107,0.25079,0.2489
,,,,,,
17,0.2,0.7,0.24759,0.25022,0.24857,0.25362
,,,,,,
17,0.6,0.7,0.24903,0.24981,0.25019,0.25097
,,,,,,
17,1,0.7,0.25116,0.24979,0.24817,0.25088
,,,,,,
18,0.2,0.1,0.24952,0.25013,0.24866,0.25169
,,,,,,
