dimension,mutation rate,cross over rate,pxa,pxb,pxc,pxp
,,,,,,
30,1,0.7,0.19225,0.19134,0.3084,0.30801
,,,,,,
31,0.2,0.1,0.24267,0.2569,0.25628,0.24415
,,,,,,
31,0.6,0.1,0.23981,0.25063,0.25765,0.25191
,,,,,,
31,1,0.1,0.24265,0.2411,0.25747,0.25878
,,,,,,
31,0.2,0.4,0.21715,0.26871,0.28327,0.23087
,,,,,,
31,0.6,0.4,0.21782,0.24442,0.28309,0.25467
,,,,,,
31,1,0.4,0.21417,0.21773,0.28314,0.28496
,,,,,,
31,0.2,0.7,0.19054,0.28688,0.30762,0.21496
,,,,,,
31,0.6,0.7,0.18944,0.24064,0.30772,0.2622
,,,,,,
31,1,0.7,0.19201,0.19181,0.30756,0.30862
,,,,,,
32,0.2,0.1,0.24264,0.25435,0.25848,0.24453
,,,,,,
32,0.6,0.1,0.24192,0.2483,0.25988,0.2499
,,,,,,
32,1,0.1,0.24111,0.2432,0.25833,0.25736
,,,,,,
32,0.2,0.4,0.21529,0.26819,0.28596,0.23056
,,,,,,
32,0.6,0.4,0.2166,0.2424,0.28336,0.25764
,,,,,,
32,1,0.4,0.2187,0.21525,0.2843,0.28175
,,,,,,
32,0.2,0.7,0.19363,0.28441,0.30631,0.21565
,,,,,,
32,0.6,0.7,0.19212,0.23769,0.30827,0.26192
,,,,,,
32,1,0.7,0.19353,0.19248,0.3069,0.30709
,,,,,,
33,0.2,0.1,0.24186,0.25501,0.25777,0.24536
,,,,,,
33,0.6,0.1,0.24026,0.24836,0.25925,0.25213
,,,,,,
33,1,0.1,0.24164,0.24312,0.25793,0.25731
,,,,,,
33,0.2,0.4,0.21739,0.26907,0.28657,0.22697
,,,,,,
33,0.6,0.4,0.21767,0.24131,0.2834,0.25762
,,,,,,
33,1,0.4,0.21701,0.21597,0.28263,0.28439
,,,,,,
33,0.2,0.7,0.19233,0.28441,0.30822,0.21504
,,,,,,
33,0.6,0.7,0.19075,0.23781,0.30758,0.26386
,,,,,,
33,1,0.7,0.18748,0.19048,0.31283,0.30921
,,,,,,
34,0.2,0.1,0.24084,0.25529,0.26031,0.24356
,,,,,,
34,0.6,0.1,0.2419,0.24942,0.25802,0.25066
,,,,,,
34,1,0.1,0.24272,0.23967,0.2607,0.25691
,,,,,,
34,0.2,0.4,0.21793,0.26902,0.28305,0.23
,,,,,,
34,0.6,0.4,0.217,0.24306,0.28513,0.25481
,,,,,,
34,1,0.4,0.21534,0.21811,0.28387,0.28268
,,,,,,
34,0.2,0.7,0.18988,0.28483,0.30991,0.21538
,,,,,,
